timestamp,user,file_path,operation,file_size_kb,access_time_sec,privilege_level,source_ip,is_malicious
2025-04-17 19:10:23,admin001,/home/admin001/desktop/tozzvurj.xls,open,3652.71,1.59,user,156.54.32.12,0
2025-04-11 19:34:23,admin001,/home/admin001/downloads/etgdouwk.xls,close,8929.79,0.01,guest,198.51.100.1,0
2025-03-31 18:09:23,user777,/home/user777/documents/jaldavrk.pdf,encrypt,2068.6,4.75,user,156.54.32.12,1
2025-04-03 08:00:23,guest998,/home/guest998/desktop/nsdxuvvv.sh,write,2494.55,3.11,admin,203.0.113.5,0
2025-04-18 10:46:23,user001,/home/user001/desktop/oqpjxtzu.sh,encrypt,8320.77,4.94,user,156.54.32.12,1
2025-04-18 02:54:23,user777,/home/user777/documents/kjpofqbw.bat,open,6932.56,1.33,admin,23.89.10.55,0
2025-04-12 18:46:23,user105,/home/user105/documents/ciddgitu.sh,encrypt,5622.52,4.06,admin,23.89.10.55,1
2025-04-06 14:28:23,user001,/home/user001/downloads/rkfrpjno.png,close,3274.58,2.02,guest,192.168.1.101,0
2025-04-03 09:07:23,admin001,/home/admin001/shared/feoqkmhv.exe,open,5609.0,1.87,guest,156.54.32.12,0
2025-04-04 13:19:23,admin001,/home/admin001/desktop/hlniieoa.png,delete,10034.21,2.78,admin,198.51.100.1,1
2025-04-18 23:11:23,user001,/home/user001/downloads/vqflvqme.bat,exfiltrate,815.22,0.52,user,45.67.23.12,1
2025-03-31 01:29:23,user023,/home/user023/downloads/iacmvoex.exe,ransom_access,7227.86,0.26,guest,203.0.113.5,1
2025-04-21 08:06:23,user023,/home/user023/secure/tydauycg.png,open,4040.78,3.08,admin,23.89.10.55,0
2025-04-04 05:51:23,admin001,/home/admin001/shared/bzxxdcur.txt,execute,3615.8,3.5,admin,23.89.10.55,0
2025-04-18 03:45:23,guest998,/home/guest998/secure/slfjijwc.docx,read,3878.82,0.39,guest,203.0.113.5,0
2025-04-06 08:18:23,guest998,/home/guest998/desktop/kkokzkrq.exe,read,5886.68,0.04,guest,203.0.113.5,0
2025-04-24 07:01:23,user777,/home/user777/downloads/srrweykj.bat,close,505.02,1.95,guest,156.54.32.12,0
2025-04-27 00:09:23,guest998,/home/guest998/secure/hvtgozoh.pdf,execute,3255.95,2.88,admin,10.0.0.2,0
2025-04-11 16:25:23,user001,/home/user001/downloads/nhymiawz.xls,open,8298.92,4.44,user,203.0.113.5,0
2025-04-29 09:09:23,guest998,/home/guest998/downloads/uyebegml.sh,close,9795.48,4.3,guest,192.168.1.101,0
2025-04-22 06:30:23,admin001,/home/admin001/desktop/syrdwisa.txt,overwrite,9338.06,1.08,admin,23.89.10.55,1
2025-04-14 08:19:23,user023,/home/user023/desktop/fpxovpmw.png,read,1404.68,4.6,guest,156.54.32.12,0
2025-04-11 15:22:23,admin001,/home/admin001/secure/bexqfmlg.jpg,close,217.85,1.17,user,10.0.0.2,0
2025-04-13 06:42:23,user001,/home/user001/secure/rbqxdpxz.pdf,write,9442.36,2.42,guest,23.89.10.55,0
2025-04-09 08:58:23,admin001,/home/admin001/desktop/nfagvjfy.bat,close,6946.78,4.34,admin,172.16.0.3,0
2025-04-19 08:01:23,admin001,/home/admin001/documents/wvbmucmz.pdf,write,1106.13,1.13,admin,45.67.23.12,0
2025-04-23 06:44:23,user105,/home/user105/downloads/qodckqvz.jpg,open,872.61,3.29,admin,203.0.113.5,0
2025-04-05 08:44:23,admin001,/home/admin001/downloads/bmjptxwh.jpg,open,8665.69,2.49,admin,10.0.0.2,0
2025-04-17 12:02:23,user023,/home/user023/documents/avfzzorb.pdf,read,9658.34,0.15,user,203.0.113.5,0
2025-04-21 10:31:23,user001,/home/user001/secure/tinmmfmw.xls,open,4720.68,1.02,guest,172.16.0.3,0
2025-04-17 11:36:23,user777,/home/user777/shared/rzxacfuw.bat,close,10169.89,1.01,user,172.16.0.3,0
2025-03-31 05:34:23,user001,/home/user001/downloads/unqvmeuy.pdf,exfiltrate,7328.1,2.09,user,23.89.10.55,1
2025-04-26 22:23:23,user105,/home/user105/secure/turpmbkt.png,exfiltrate,8477.06,4.49,user,172.16.0.3,1
2025-04-16 09:14:23,user105,/home/user105/documents/omkgqhom.jpg,read,9633.41,3.89,guest,156.54.32.12,0
2025-04-28 09:29:23,guest998,/home/guest998/secure/bskavuka.bat,encrypt,4070.48,2.11,admin,45.67.23.12,1
2025-04-03 07:20:23,user777,/home/user777/desktop/ltrarmji.jpg,execute,595.96,0.78,user,203.0.113.5,0
2025-04-24 05:57:23,guest998,/home/guest998/documents/psjcahhx.docx,execute,828.38,2.35,admin,156.54.32.12,0
2025-04-20 13:16:23,guest998,/home/guest998/documents/ufnfdzjx.exe,overwrite,10174.35,1.05,user,192.168.1.101,1
2025-04-24 21:06:23,user001,/home/user001/secure/svaezcwt.exe,open,345.83,1.08,user,203.0.113.5,0
2025-04-20 15:02:23,user023,/home/user023/downloads/bdsinadx.png,execute,786.09,2.16,guest,45.67.23.12,0
2025-04-27 20:06:23,guest998,/home/guest998/secure/tnvjlike.pdf,ransom_access,9031.55,0.3,user,192.168.1.101,1
2025-04-04 20:01:23,admin001,/home/admin001/documents/jtpcmizu.pdf,close,2191.08,3.99,user,45.67.23.12,0
2025-03-31 01:07:23,admin001,/home/admin001/shared/eduqnevc.pdf,encrypt,7114.92,0.29,user,172.16.0.3,1
2025-04-12 17:51:23,admin001,/home/admin001/secure/gitsbxpe.xls,exfiltrate,1573.39,3.84,guest,156.54.32.12,1
2025-04-27 05:57:23,user023,/home/user023/shared/jwgqjdbn.png,write,6440.99,3.39,guest,156.54.32.12,0
2025-04-13 02:22:23,admin001,/home/admin001/shared/uzgkxdeq.sh,overwrite,1328.01,0.79,user,23.89.10.55,1
2025-04-11 04:15:23,user001,/home/user001/shared/acabdnum.png,delete,6932.31,2.33,user,45.67.23.12,1
2025-04-11 23:14:23,user105,/home/user105/desktop/rnhaeowf.bat,read,3685.66,2.95,guest,10.0.0.2,0
2025-04-07 05:51:23,admin001,/home/admin001/secure/pvouechb.png,open,8466.59,0.04,admin,45.67.23.12,0
2025-04-04 20:07:23,user001,/home/user001/downloads/dqtqvdsp.docx,execute,698.84,1.27,guest,203.0.113.5,0
2025-04-28 07:37:23,user105,/home/user105/secure/cfqvsxpj.bat,exfiltrate,1479.03,4.2,guest,23.89.10.55,1
2025-04-23 01:00:23,admin001,/home/admin001/documents/btcgjcid.docx,write,5600.35,1.81,user,172.16.0.3,0
2025-04-22 09:03:23,user023,/home/user023/shared/yifuhjnl.txt,execute,8357.42,2.27,guest,198.51.100.1,0
2025-04-21 14:50:23,user023,/home/user023/documents/gyhuxdnj.xls,write,3388.43,1.58,admin,198.51.100.1,0
