timestamp,cpu_usage,memory_usage,network_connections,process_count,file_accessed,access_level,external_connection,executed_command,is_malicious
2025-05-02 07:00:00,5.63,18.25,4,2,C:/Users/user/docs/report.docx,user,0,explorer.exe,0
2025-05-02 14:00:00,7.17,22.66,1,1,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 09:00:00,17.63,10.8,4,5,/etc/passwd,user,0,explorer.exe,0
2025-05-02 09:00:00,16.23,18.35,1,2,/etc/passwd,user,0,explorer.exe,0
2025-05-02 11:00:00,11.95,16.46,6,1,C:/Users/user/docs/report.docx,user,0,explorer.exe,0
2025-05-02 12:00:00,7.42,35.42,10,3,C:/Users/user/docs/report.docx,user,0,explorer.exe,0
2025-05-02 13:00:00,18.41,39.19,7,1,/usr/bin/bash,user,0,explorer.exe,0
2025-05-02 10:00:00,25.74,28.56,6,5,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 07:00:00,6.15,16.84,5,1,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 07:00:00,14.5,23.6,6,2,D:/Backups/data.bak,user,0,explorer.exe,0
2025-05-02 11:00:00,10.24,18.01,2,5,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 14:00:00,23.23,14.9,7,3,/usr/bin/bash,user,0,explorer.exe,0
2025-05-02 09:00:00,22.12,35.29,1,2,C:/Users/user/docs/report.docx,user,0,explorer.exe,0
2025-05-02 11:00:00,15.03,11.99,10,3,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 13:00:00,14.89,37.44,8,2,D:/Backups/data.bak,user,0,explorer.exe,0
2025-05-02 08:00:00,11.17,26.84,5,5,/etc/passwd,user,0,explorer.exe,0
2025-05-02 15:00:00,14.99,16.58,3,5,/etc/passwd,user,0,explorer.exe,0
2025-05-02 07:00:00,23.89,35.83,3,2,/etc/passwd,user,0,explorer.exe,0
2025-05-02 15:00:00,6.59,21.45,8,5,D:/Backups/data.bak,user,0,explorer.exe,0
2025-05-02 14:00:00,26.52,10.34,2,5,D:/Backups/data.bak,user,0,explorer.exe,0
2025-05-02 11:00:00,7.79,23.04,8,1,D:/Backups/data.bak,user,0,explorer.exe,0
2025-05-02 14:00:00,24.05,25.23,2,3,/usr/bin/bash,user,0,explorer.exe,0
2025-05-02 15:00:00,9.97,21.22,3,5,/usr/bin/bash,user,0,explorer.exe,0
2025-05-02 06:00:00,19.97,24.66,2,3,D:/Backups/data.bak,user,0,explorer.exe,0
2025-05-02 09:00:00,6.45,36.34,2,1,/etc/passwd,user,0,explorer.exe,0
2025-05-02 07:00:00,29.45,25.98,3,2,/etc/passwd,user,0,explorer.exe,0
2025-05-02 14:00:00,9.13,25.83,10,4,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 14:00:00,23.88,30.7,5,4,D:/Backups/data.bak,user,0,explorer.exe,0
2025-05-02 13:00:00,27.49,23.54,4,2,C:/Users/user/docs/report.docx,user,0,explorer.exe,0
2025-05-02 11:00:00,5.53,26.62,10,2,C:/Users/user/docs/report.docx,user,0,explorer.exe,0
2025-05-02 07:00:00,22.7,11.77,2,1,D:/Backups/data.bak,user,0,explorer.exe,0
2025-05-02 07:00:00,17.85,18.35,8,2,/usr/bin/bash,user,0,explorer.exe,0
2025-05-02 08:00:00,23.08,36.47,10,4,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 13:00:00,25.19,15.71,2,4,D:/Backups/data.bak,user,0,explorer.exe,0
2025-05-02 12:00:00,15.28,35.92,1,1,C:/Users/user/docs/report.docx,user,0,explorer.exe,0
2025-05-02 12:00:00,23.21,34.02,2,2,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 09:00:00,18.41,14.21,3,3,/etc/passwd,user,0,explorer.exe,0
2025-05-02 09:00:00,26.86,12.26,9,1,C:/Users/user/docs/report.docx,user,0,explorer.exe,0
2025-05-02 14:00:00,25.9,39.07,4,2,/etc/passwd,user,0,explorer.exe,0
2025-05-02 13:00:00,17.03,35.94,1,2,/etc/passwd,user,0,explorer.exe,0
2025-05-02 06:00:00,29.63,17.96,8,3,/etc/passwd,user,0,explorer.exe,0
2025-05-02 14:00:00,21.55,24.6,4,3,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 06:00:00,19.48,26.27,6,1,C:/Users/user/docs/report.docx,user,0,explorer.exe,0
2025-05-02 15:00:00,16.92,37.58,9,2,C:/Users/user/docs/report.docx,user,0,explorer.exe,0
2025-05-02 14:00:00,7.0,15.57,10,1,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 12:00:00,8.0,36.71,4,5,/usr/bin/bash,user,0,explorer.exe,0
2025-05-02 06:00:00,20.48,22.58,10,5,/usr/bin/bash,user,0,explorer.exe,0
2025-05-02 11:00:00,28.37,16.13,6,2,D:/Backups/data.bak,user,0,explorer.exe,0
2025-05-02 12:00:00,8.27,29.37,8,3,C:/Users/user/docs/report.docx,user,0,explorer.exe,0
2025-05-02 06:00:00,16.46,39.95,2,1,/usr/bin/bash,user,0,explorer.exe,0
2025-05-02 09:00:00,17.65,13.97,6,1,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 11:00:00,12.12,23.15,9,3,/usr/bin/bash,user,0,explorer.exe,0
2025-05-02 14:00:00,5.2,34.51,5,1,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 10:00:00,7.89,13.21,9,2,D:/Backups/data.bak,user,0,explorer.exe,0
2025-05-02 10:00:00,20.12,31.53,4,3,/usr/bin/bash,user,0,explorer.exe,0
2025-05-02 13:00:00,11.28,37.24,1,1,/etc/passwd,user,0,explorer.exe,0
2025-05-02 10:00:00,6.1,20.01,3,3,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 13:00:00,18.79,22.83,1,1,C:/Users/user/docs/report.docx,user,0,explorer.exe,0
2025-05-02 08:00:00,18.64,35.04,10,5,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 12:00:00,8.19,19.25,1,3,C:/Windows/System32/config.sys,user,0,explorer.exe,0
2025-05-02 09:00:00,21.67,20.61,9,4,/usr/bin/bash,user,0,explorer.exe,0
